ds,unique_id,y
2018-06-01,0122a0b7-dee8-4d5a-90df-517b267260a1,0.0
2018-06-01,0b008a9e-f673-4782-81af-a9ac12cae6a4,0.0
2018-06-01,c00ef7e3-53bc-4305-9ef3-5f22085e35f3,0.0
2018-06-01,d8b7b437-1f9f-4af8-8c1c-3ff5ed58873e,0.0
2018-07-01,0122a0b7-dee8-4d5a-90df-517b267260a1,2592.399
2018-07-01,090e1b52-0dbe-4893-b044-a7df7cdbb7a0,0.0
2018-07-01,0b008a9e-f673-4782-81af-a9ac12cae6a4,3888.5985
2018-07-01,c00ef7e3-53bc-4305-9ef3-5f22085e35f3,1296.1995
2018-07-01,d8b7b437-1f9f-4af8-8c1c-3ff5ed58873e,5184.798
2018-08-01,0122a0b7-dee8-4d5a-90df-517b267260a1,3718.732
2018-08-01,090e1b52-0dbe-4893-b044-a7df7cdbb7a0,0.0
2018-08-01,0b008a9e-f673-4782-81af-a9ac12cae6a4,5578.098
2018-08-01,c00ef7e3-53bc-4305-9ef3-5f22085e35f3,1859.366
2018-08-01,d8b7b437-1f9f-4af8-8c1c-3ff5ed58873e,7437.464
2018-09-01,0122a0b7-dee8-4d5a-90df-517b267260a1,3781.269
2018-09-01,090e1b52-0dbe-4893-b044-a7df7cdbb7a0,0.0
2018-09-01,0b008a9e-f673-4782-81af-a9ac12cae6a4,5671.9035
2018-09-01,c00ef7e3-53bc-4305-9ef3-5f22085e35f3,1890.6345
2018-09-01,d8b7b437-1f9f-4af8-8c1c-3ff5ed58873e,7562.538
2018-09-01,db2e9f01-d0ff-4b7a-a9a4-f2071e5f3d4c,125.373
2018-10-01,0122a0b7-dee8-4d5a-90df-517b267260a1,3906.251
2018-10-01,090e1b52-0dbe-4893-b044-a7df7cdbb7a0,0.0
2018-10-01,0b008a9e-f673-4782-81af-a9ac12cae6a4,5859.3765
2018-10-01,c00ef7e3-53bc-4305-9ef3-5f22085e35f3,1953.1255
2018-10-01,d8b7b437-1f9f-4af8-8c1c-3ff5ed58873e,7812.502
2018-10-01,db2e9f01-d0ff-4b7a-a9a4-f2071e5f3d4c,984.998
2018-11-01,0122a0b7-dee8-4d5a-90df-517b267260a1,4623.782
2018-11-01,090e1b52-0dbe-4893-b044-a7df7cdbb7a0,1.058
2018-11-01,0b008a9e-f673-4782-81af-a9ac12cae6a4,6935.673
2018-11-01,172278ec-ee15-4106-b84a-716f68df6ad5,66.1135
2018-11-01,c00ef7e3-53bc-4305-9ef3-5f22085e35f3,2311.891
2018-11-01,d8b7b437-1f9f-4af8-8c1c-3ff5ed58873e,9247.564
2018-11-01,db2e9f01-d0ff-4b7a-a9a4-f2071e5f3d4c,989.598
2018-12-01,0122a0b7-dee8-4d5a-90df-517b267260a1,4400.245
2018-12-01,090e1b52-0dbe-4893-b044-a7df7cdbb7a0,86.7445
2018-12-01,0b008a9e-f673-4782-81af-a9ac12cae6a4,6600.3675
2018-12-01,172278ec-ee15-4106-b84a-716f68df6ad5,1932.644
2018-12-01,6ee6f98c-d55f-4f59-9338-22db3db5f550,0.0
2018-12-01,c00ef7e3-53bc-4305-9ef3-5f22085e35f3,2200.1225
2018-12-01,d8b7b437-1f9f-4af8-8c1c-3ff5ed58873e,8800.49
2018-12-01,db2e9f01-d0ff-4b7a-a9a4-f2071e5f3d4c,1072.076
2018-12-01,f438e34b-156c-4b3e-b909-2bf6ec1434e1,0.0
2019-01-01,0b008a9e-f673-4782-81af-a9ac12cae6a4,800.0
2019-01-01,0e55c6b0-c61a-4ed4-b458-e90bf3720836,291.0
2019-01-01,139a2c92-dc09-4ae4-9e81-1762c85fee03,70.0
2019-01-01,172278ec-ee15-4106-b84a-716f68df6ad5,6286.396
2019-01-01,1ddfcda3-c00c-4c06-9489-d42f82a2b8d2,290.0
2019-01-01,1fc6d41b-9a1a-40a5-9fa0-2d808d9319ec,70.0
2019-01-01,2b6e3549-9b03-49b4-91b8-2888d7aa2035,70.0
2019-01-01,38db8afa-af04-43a7-8296-af1423eaf864,72.0
2019-01-01,42c6433e-cf07-4bdb-a946-2a470b3227a9,147.038
2019-01-01,471a5036-6451-4c20-bad3-1a284f971c11,170.0
2019-01-01,4789ac37-c380-4ba9-b983-9ab1a32f4bb6,460.0
2019-01-01,49b52531-0c3e-4281-a284-fe86cca90063,224.0
2019-01-01,5157fb8f-04ed-4b64-9a38-37a338e82083,80.0
2019-01-01,5b1214d4-0678-4d59-8240-8abe5c0ff063,280.0
2019-01-01,5cde0134-eeac-4e7a-abdd-88ce9cf6dcf2,140.0
2019-01-01,5dc422fd-f619-444f-a67d-bf09142bd91b,0.0
2019-01-01,62484e06-d9b3-4c13-8105-2026befb0e39,148.0
2019-01-01,642387f3-026b-4109-bee6-0fbb1a92c69c,160.0
2019-01-01,67a8b134-26d7-47f0-bf10-f19f58c30638,630.0
2019-01-01,6ee6f98c-d55f-4f59-9338-22db3db5f550,63.2385
2019-01-01,75dd458b-c52c-4d4c-873d-9ef179daf805,290.0
2019-01-01,766c0322-561e-4d4a-a28b-5b1e6b8b8c8f,210.0
2019-01-01,7f44f3b8-609e-4ac3-9572-ebeb0f8d07a7,150.0
2019-01-01,97fa405c-b0fe-4187-9158-15e6b124d985,140.0
2019-01-01,9ba7cc61-7ed5-4a9f-88b0-6b753011e4ef,159.3085
2019-01-01,9cdc9d34-8c34-424f-8594-0adf13959ab0,296.9415
2019-01-01,9e01feab-5c19-4bb9-973d-0f3f1488f8d8,150.0
2019-01-01,a03b990c-74b9-4444-8d18-be72a1d6d4ea,110.0
2019-01-01,a3abf9c0-7ca0-45ce-bf30-d1745e80db00,80.0
